timestamp,sku,size,availability
1542015907,00694144000646,1.0,2658
1542015907,00694144000646,3.5,98
1542015907,00628242240215,1.0,2100
1542015907,00628242240215,3.5,17343
1542015907,00628242240215,7.0,3551
1542015907,00628242240215,15.0,1336
1542015907,00694144000233,3.5,971
1542015907,00628242240826,3.5,7498
1542015907,00841464000775,1.0,1413
1542015907,00841464000775,3.5,1195
1542015907,00694144000134,1.0,8466
1542015907,00694144000134,3.5,7427
1542015907,00694144000134,7.0,1312
1542015907,00628242241014,1.0,5463
1542015907,00628242241014,3.5,10195
1542015907,00628242241014,7.0,2404
1542015907,00628242240123,3.5,11736
1542015907,00628242240727,3.5,5813
1542015907,00628242240727,7.0,1264
1542015907,00628242240918,1.0,3034
1542015907,00628242240918,3.5,3884
1542015907,00628242240918,7.0,1386
1542015907,00628242240918,15.0,249
1542015907,00628582000524,3.5,15723
1542015907,00628582000524,7.0,2564
1542015907,00882464000150,1.0,265
1542015907,00882464000150,3.5,3210
1542015907,00882464000150,7.0,1546
1542015907,00882464000150,15.0,110
1542015907,00882464000105,1.0,101
1542015907,00882464000105,3.5,833
1542015907,00628242240420,3.5,6175
1542015907,00628242240420,7.0,4562
1542015907,00628242240420,15.0,787
1542015907,00882464000013,3.5,425
1542015907,00882464000013,7.0,597
1542015907,00882464000013,15.0,123
1542015907,00628250706000,1.0,1434
1542015907,00628250706000,3.5,3476
1542015907,00629108033057,1.0,742
1542015907,00629108033057,3.5,2316
1542015907,00827912000061,3.5,1552
1542015907,00828939111525,3.5,899
1542015907,00688083001505,15.0,520
1542015907,00628582000166,3.5,4168
1542015907,00828939111211,1.0,353
1542015907,00828939111211,3.5,4983
1542015907,00628582000395,7.0,123
1542015907,00828939111310,1.0,864
1542015907,00828939111310,3.5,6289
1542015907,00841432000004,1.0,434
1542015907,00841432000004,3.5,199
1542015907,00688083000867,3.5,1846
1542015907,00688083000867,15.0,426
1542015907,00627965006009,3.5,2354
1542015907,00627965006009,7.0,839
1542015907,00628250744125,1.0,153
1542015907,00628250744125,3.5,937
1542015907,00628250744125,7.0,416
1542015907,00628250744002,1.0,62
1542015907,00628250744002,3.5,433
1542015907,00627965000014,3.5,261
1542015907,00627965000014,7.0,691
1542015907,00627965000014,15.0,360
1542015907,00841432002015,1.0,2584
1542015907,00807399102045,1.0,281
1542015907,00629108054052,3.5,2517
1542015907,00628582000418,3.5,4011
1542015907,00628582000418,7.0,625
1542015907,00628582000623,3.5,5101
1542015907,00628582000623,7.0,988
1542015907,00841432000011,1.0,71
1542015907,00841432000011,3.5,1571
1542015907,00628582000302,3.5,739
1542015907,00628582000302,7.0,972
1542015907,00841432000028,1.0,778
1542015907,00841432000028,3.5,1726
1542015907,00841432000028,7.0,342
1542015907,00807399202042,1.0,187
1542015907,00807399202042,3.5,512
1542015907,00629108001056,1.0,553
1542015907,00628582000180,1.0,1215
1542015907,00628582000180,3.5,4598
1542015907,00628582000180,7.0,569
1542015907,00628582000005,1.0,5626
